KEY	DT_OPERACAO	VLR_RENDA_LIQUIDA	GRAU_DE_INSTRUCAO	VLR_SOLICITADO	VLR_PARCELA	UF	SEXO	QTD_PARCELAS	PRODUTO	ALVO	IDADE	SCORE
1	20/05/2016	1241.90	ENSINO MEDIO COMPLETO                                                                               	1000.00	241.72	BA	M	12	7817	0	68	62.10
2	19/10/2016	1977.67	ENSINO MEDIO COMPLETO                                                                               	4124.08	981.77	SP	M	12	7831	0	69	54.42
3	13/10/2016	717.23	ENSINO MEDIO COMPLETO                                                                               	1064.15	219.64	MG	F	12	7831	0	65	86.31
4	18/03/2016	572.00	ENSINO MEDIO COMPLETO                                                                               	1000.00	203.69	ES	F	12	7770	0	28	48.91
5	18/04/2016	924.53	4 SERIE COMPLETA DO ENSINO FUNDAMENTAL                                                              	1200.00	240.72	SP	M	12	7770	0	67	69.57
6	29/04/2016	1763.00	ENSINO MEDIO COMPLETO                                                                               	2000.00	464.39	PE	F	12	7817	0	67	60.62
7	09/09/2016	880.00	ENSINO MEDIO COMPLETO                                                                               	1300.00	361.07	PE	F	12	7817	1	38	45.53
8	11/08/2016	574.03	ENSINO MEDIO COMPLETO                                                                               	1246.55	255.80	SP	M	12	7770	0	62	64.92
9	29/02/2016	990.85	ENSINO MEDIO COMPLETO                                                                               	2019.05	445.88	SP	M	12	7770	1	39	32.34
10	18/10/2016	1847.04	ENSINO MEDIO COMPLETO                                                                               	2000.00	421.72	SP	M	12	7770	0	77	31.22
11	06/05/2016	880.00	EDUCACAO SUPERIOR INCOMPLETO                                                                        	1737.92	387.47	PB	M	12	7770	1	58	38.11
12	25/10/2016	977.02	EDUCACAO SUPERIOR COMPLETO                                                                          	1732.67	423.14	BA	F	12	7817	1	50	42.84
13	01/04/2016	850.29	ENSINO MEDIO COMPLETO                                                                               	400.00	91.38	AM	F	12	7770	1	62	92.74
14	24/08/2016	1234.50	ENSINO MEDIO COMPLETO                                                                               	1738.46	413.03	PE	F	12	7770	0	56	66.58
15	06/06/2016	572.00	ENSINO MEDIO COMPLETO                                                                               	1158.69	251.45	SP	F	12	7770	1	78	75.20
16	29/07/2016	1106.85	ENSINO MEDIO COMPLETO                                                                               	2108.35	495.18	MG	M	12	7817	1	24	16.81
